company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
DRILL GEMS ENGINEERING PTE LTD,198904035H,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,23/4/17,12,NEW INDUSTRIAL ROAD,#07-02,MORNINGSTAR CENTRE,536202,62828798
DRILL GEMS ENGINEERING PTE LTD,197200704E,Specialist Builder (Piling Works),SB(PW),na,23/4/17,12,NEW INDUSTRIAL ROAD,#07-02,MORNINGSTAR CENTRE,536202,62828798
DS D+B PTE. LTD.,197201657D,General Builder Class 2,GB2,na,26/9/17,2,KALLANG PUDDING ROAD,#06-09,MACTECH BUILDING,349307,67462865
DT CONSTRUCTION GROUP PTE LTD,197201160G,General Builder Class 2,GB2,na,3/12/17,BLOCK 10,JALAN KUKOH,#01-49,na,162010,62732508
DTC BUILDERS PTE LTD,197301917Z,General Builder Class 2,GB2,na,15/6/19,22,WOODLANDS LINK,#03-12,na,738734,64818144
DTG & CO. PTE LTD,200517625R,General Builder Class 2,GB2,na,16/6/18,153,BUKIT BATOK STREET 11,#04-296,na,650153,65601253
DUN HUANG BUILDER PTE. LTD,201539995D,General Builder Class 2,GB2,na,15/6/19,11,MANDAI ESTATE,#03-13,ELDIX,729908,68970583
DURASPEC PTE. LTD.,199202255K,General Builder Class 2,GB2,na,1/7/19,58,KIAN TECK ROAD,na,na,628792,62843540
DURAWORKS,198602334W,General Builder Class 2,GB2,na,17/4/17,231,ANG MO KIO AVENUE 3,#03-1230,na,560231,93800120
DVULGE PTE. LTD.,197900315R,General Builder Class 2,GB2,na,31/12/16,192,PANDAN LOOP,#02-10,PANTECH BUSINESS HUB,128381,67788876
DW CONSTRUCTION PTE. LTD.,200714805W,General Builder Class 2,GB2,na,5/9/17,10,KAKI BUKIT ROAD 1,#03-21,KB INDUSTRIAL BUILDING,416175,68444285
DW FOUNDATION PTE. LTD.,200815187Z,Specialist Builder (Piling Works),SB(PW),na,18/6/18,2,TANJONG PENJURU CRESCENT,na,na,608968,63167116
DX ENGINEERING PTE. LTD.,200707368E,General Builder Class 2,GB2,na,13/5/19,336,SEMBAWANG CRESCENT,#15-182,na,750336,98262506
DYNAFLEX INTERNATIONAL PTE LTD,197901804C,General Builder Class 2,GB2,na,18/6/18,34,TOH GUAN ROAD EAST,#01-23,CAPITAL ONE,608579,62623262
DYNAMICWERKZ PTE. LTD.,199004259Z,General Builder Class 2,GB2,na,16/6/18,10,KAKI BUKIT ROAD 1,#03-21,KB INDUSTRIAL BUILDING,416175,68444285
DYS CONSTRUCTION PTE. LTD.,200919625D,General Builder Class 2,GB2,na,14/3/19,16,GHIM MOH ROAD,#03-69,na,270016,91818682
